Id,KeyPhrases
8,fresh fruit
8,possibility
8,veg
13,different one
13,receptionist
13,english
13,feeling
13,people
13,hotel
13,airplanes
13,airport
13,sounds
13,night
14,frequent busses
14,stay
14,days
14,edge
14,larnaca
14,centre
17,price
21,other food
21,restaurant area
21,cold shower
21,good shower
21,fridge
21,5 mins
21,pizza
21,staff
25,2 weeks time
25,fact
25,hotel
27,surrounding buildings
27,construction
28,ironing board
28,room
32,garden view apartments
32,evening time
32,street side
32,air conditioning
32,case
32,windows
33,hooks
33,walls
33,towels
34,heating water
34,proper shower
34,hot water
34,problem
34,time
35,opening times
36,bus
36,airport
36,15 minutes
39,real observation
39,clear view
39,net curtain
39,shower
39,room
39,apartments
40,early afternoon flights
40,welcome email
40,restaurants
40,area
40,kitchen
40,food
40,time
40,something
40,nuts
40,chips
40,arrival
43,hotels control
43,evening
44,plane noise
44,takeoff end
44,bit
44,afternoon
44,evening
44,runway
44,departures
44,morning
44,problem
54,lot
54,mosquitos
55,prime location
55,one nights
55,lot
55,guests
55,airport
55,breakfast
55,suggestion
55,everything
57,room
57,planes
60,overnight stay
60,issues
61,folding bed
61,regular beds
61,veranda
61,son
62,single negative point
62,45 years
62,part
62,work
63,quiet stay
63,hotel
63,airport
63,noise
63,planes
70,shop
70,area
70,accommodation
74,balcony
80,24 hour reception
80,odd hours
80,entry
82,location
82,centre
83,thing
83,pool
83,plenty
83,chairs
83,garden
84,room
84,cleaning
84,complaint
85,lovely little hotel
85,friendly staff
85,breakfast
87,stay
89,parking
92,waiting position
92,next flight
92,larnaka airport
92,beach stay
92,location
92,place
95,towels
100,cupboards
100,wardrobes
100,doors
100,drawers
100,room
102,hand soap
102,shampoo
102,shower
104,everything
104,property
105,hotel staff
105,term
105,fridge
105,freezer
105,person
105,diabetes
105,team
105,insulin
105,holidays
105,entertainment
111,nice restaurant
111,good food
111,service
113,complaints
118,everything
119,room
120,hair shampoo
120,basic amenities
122,area
124,taxi drivers
124,small child
124,alternative way
124,hotel
124,times
124,airport
124,price
124,money
124,tip
124,someone
124,middle
124,night
124,transport
125,summertime
130,city centre
130,location
130,hotel
130,425 bus
130,station
132,swimming pool
136,smell
136,bathroom
138,slow elevators
140,fabulous place
144,everything
148,quick path
148,beachside cafes
148,hotel
149,kiosk
149,hotel
151,late check
151,taxi driver
151,cyprus number
151,one
151,hotel
151,keys
151,door
151,call
153,channels
153,russia
159,everything
168,everything
170,big issues
170,parking lot
170,parking spot
170,hotel
172,bed
172,linens
172,everything
178,channel selection
178,evening
179,next hotel
179,ac
179,people
179,room
184,hotel
184,airport
184,access
184,car
184,base
189,previous stay
189,room
189,balcony
189,lot
189,difference
194,post airport stays
194,beach
194,pre
195,booking.com
195,new dates
195,similar number
195,big fraud
195,mattresses
195,room
195,promotion
200,none
207,previous visitors
207,hair
207,floor
208,everything
210,everythingz
210,airport
210,town
212,bathroom
216,everything
218,air traffic
219,news channel
219,choice
219,english
220,mini fridge
220,water bottles
220,following day
220,something
220,guests
223,complaints
223,hotel
223,parking
223,area
225,beach towel services
225,many little details
225,one small bottle
225,small welcome tray
225,baby safety corners
225,small fridge
225,sharp/hard corners
225,excellent staff/owners
225,ok restaurant
225,pool table
225,local shop/kiosk
225,bathroom floor
225,glass wall
225,bed frame
225,veranda door
225,main door
225,macgyver way
225,bed cover
225,professional seal
225,door frame
225,high rating
225,true pleasure
225,tea spoon
225,double room
225,room service
225,hotel
225,tips
225,improvement
225,order
225,backyard
225,life
225,arrival
225,water
225,day
225,2 bottles
225,couple
225,cents
225,half
225,shower
225,night
225,fix
225,term
225,lots
225,space/weight
225,baggage
225,stay
225,comments
227,hospitality
227,location
227,quiet
231,late night flight arrival
231,price
231,purpose
232,local shop
232,everything
232,cafe
237,stingy smell
237,small room
237,bathroom
238,safety strip
238,step
238,floor
238,stairs
240,random unlabeled shampoo dispenser
240,shower wall
240,hotel cost
240,price
240,body
240,hair
245,taxi drivers gps
245,several apartment buildings
245,small side street
245,location
245,trouble
246,good location
247,decent tv channels
247,~10 channels
247,lack
247,evening
247,something
247,greek
247,half
247,russian
247,english
258,two foot towels
258,bathroom floor
258,thing
258,shower
275,locks
275,windows
276,body soap
276,hair conditioner
276,shower shampoo
276,staff
276,dispancer
279,immediate location
279,lovely restaurants
279,sea front
279,limassol
279,airport
283,view
283,rooms
284,long hot water
284,tap/shower
284,room
286,smell
286,bathroom/water
424,proper plan tea
424,ordinary tea
424,booking.com
424,breakfast
424,variety
424,cereal
424,offer
424,hotel
424,wheelchairs
424,ramps
424,regulations
425,2 times noise
425,large lorries
425,week
425,people
425,rubbish
426,beach front
426,impression
427,enough pillows
428,bed
428,parking
429,front building
429,windows
429,room
430,mini mart
430,restaurant
431,street parking
432,insufficient coverage
432,bathroom glass
432,wall tiles
432,late check
432,normal time
432,next customers
432,various things
432,shower floor
432,mess
432,edges
432,replacement
432,bin
432,mirror
432,right
432,sink
432,curtains
432,lot
432,light
432,morning
432,parking
432,call
432,clerk
432,problem
432,staff
433,unpleasant smell
433,kind
433,bathroom
434,guesthouse
434,hotel
435,one small water bottle
435,sitting area
435,early morning
435,size
435,room
435,space
435,suitcase
435,wardrobe
435,terrace
435,sun
435,money
435,hotels
435,valencia
436,original greek breakfast
436,low quality
